"","Year","Month","DayofMonth","delay"
"1",2004,3,1,-5
"2",2004,3,2,-10.75
"3",2004,3,3,8
"4",2004,3,4,NA
"5",2004,3,5,11
"6",2004,3,7,153.5
"7",2004,3,8,-19
"8",2004,3,9,-11.5
"9",2004,3,10,-5
"10",2004,3,11,-11
"11",2004,3,12,13.5
"12",2004,3,13,-16
"13",2004,3,14,-11
"14",2004,3,15,19.5
"15",2004,3,16,-0.666666666666667
"16",2004,3,17,126
"17",2004,3,18,0
"18",2004,3,19,-6
"19",2004,3,20,54
"20",2004,3,22,-11.5
"21",2004,3,23,88.5
"22",2004,3,24,65
"23",2004,3,25,-9.8
"24",2004,3,26,28.6666666666667
"25",2004,3,27,22.5
"26",2004,3,29,7.25
"27",2004,3,30,7
"28",2004,3,31,6
"29",2004,4,1,-3.33333333333333
"30",2004,4,2,-11
"31",2004,4,6,-11.5
"32",2004,4,7,-12
"33",2004,4,8,35
"34",2004,4,9,-24.5
"35",2004,4,10,-21
"36",2004,4,11,-0.5
"37",2004,4,12,-19.5
"38",2004,4,13,-5
"39",2004,4,15,-7
"40",2004,4,16,-18
"41",2004,4,17,-11
"42",2004,4,18,-6.25
"43",2004,4,19,0
"44",2004,4,20,-5.33333333333333
"45",2004,4,21,-10.3333333333333
"46",2004,4,22,-6.25
"47",2004,4,24,49.8
"48",2004,4,26,-5.66666666666667
"49",2004,4,27,-14
"50",2004,4,29,41.5
"51",2004,4,30,9.5
"52",2006,3,1,154
"53",2006,3,3,-8.66666666666667
"54",2006,3,4,63.75
"55",2006,3,5,8.5
"56",2006,3,7,-1.33333333333333
"57",2006,3,8,49
"58",2006,3,9,2.5
"59",2006,3,10,-8.5
"60",2006,3,11,-8
"61",2006,3,12,116
"62",2006,3,14,12
"63",2006,3,15,16
"64",2006,3,16,24.3333333333333
"65",2006,3,18,87
"66",2006,3,19,62
"67",2006,3,20,18.3333333333333
"68",2006,3,21,15
"69",2006,3,22,-6.5
"70",2006,3,25,-20
"71",2006,3,26,24.6666666666667
"72",2006,3,28,52
"73",2006,3,29,-2
"74",2006,3,30,46
"75",2006,3,31,82.5
"76",2006,4,1,-9.5
"77",2006,4,2,23
"78",2006,4,3,55.5
"79",2006,4,4,28
"80",2006,4,5,-18
"81",2006,4,6,249
"82",2006,4,7,74.5
"83",2006,4,8,-1
"84",2006,4,9,-10.5
"85",2006,4,10,-9
"86",2006,4,12,25.3333333333333
"87",2006,4,13,-2.5
"88",2006,4,14,71
"89",2006,4,15,13
"90",2006,4,16,-18
"91",2006,4,17,-4.5
"92",2006,4,18,-17
"93",2006,4,20,27.5
"94",2006,4,21,1.4
"95",2006,4,22,1.75
"96",2006,4,23,-2
"97",2006,4,25,14.8333333333333
"98",2006,4,26,-9.33333333333333
"99",2006,4,28,75.25
"100",2006,4,29,-11
"101",2006,4,30,-9
